numberIndependentVariables,"""=""",3.0,,,,,,
-25.0,15.0,-15.0,-0.18520,-0.193,1.13000,-0.02450,0.16500,0.03030
-25.0,15.0,-10.0,-0.17210,-0.2482,0.83500,-0.02200,0.15800,0.04730
-25.0,15.0,-5.0,-0.12990,-0.3041,0.42400,-0.02210,0.13730,0.05160
-25.0,15.0,0.0,-0.10650,-0.3198,0.11900,-0.02230,0.14480,0.05470
-25.0,15.0,5.0,-0.06310,-0.3257,-0.18700,-0.02920,0.15680,0.05530
-25.0,15.0,10.0,-0.01070,-0.3204,-0.49800,-0.04470,0.17500,0.05120
-25.0,15.0,15.0,0.04100,-0.3091,-0.80100,-0.05680,0.19580,0.04800
-25.0,15.0,20.0,0.07020,-0.2479,-1.07700,-0.05420,0.19910,0.02260
-25.0,15.0,25.0,0.10410,-0.2337,-1.35600,-0.05250,0.18770,0.01320
-25.0,15.0,30.0,0.12140,-0.1841,-1.58000,-0.03080,0.16960,-0.02140
-25.0,15.0,35.0,0.13360,-0.1632,-1.72100,-0.00170,0.11240,-0.06700
-25.0,15.0,40.0,0.14340,-0.1539,-1.83900,-0.01800,0.07450,-0.07620
-25.0,15.0,45.0,0.15400,-0.194,-1.91100,-0.02740,0.02080,-0.09000
-25.0,15.0,50.0,0.15370,-0.2201,-1.87000,-0.03710,-0.01140,-0.06930
-25.0,15.0,55.0,0.17220,-0.209,-1.75500,-0.03160,-0.05620,-0.03860
-25.0,15.0,60.0,0.14710,-0.1885,-1.78000,-0.02340,-0.09760,-0.02630
-25.0,15.0,70.0,0.14740,-0.1266,-1.80000,-0.02920,-0.24790,-0.01000
-25.0,15.0,80.0,0.14100,-0.1554,-1.81000,-0.02970,-0.37630,-0.00750
-25.0,15.0,90.0,0.15310,-0.1547,-1.89500,-0.02310,-0.50010,-0.00380
-25.0,20.0,-20.0,-0.18380,-0.2861,1.18500,-0.01070,0.21400,0.04430
-25.0,20.0,-15.0,-0.18170,-0.254,1.10000,-0.01790,0.16700,0.04730
-25.0,20.0,-10.0,-0.16950,-0.3212,0.82100,-0.01400,0.17500,0.05720
-25.0,20.0,-5.0,-0.12580,-0.4001,0.40500,-0.02410,0.14440,0.06800
-25.0,20.0,0.0,-0.10150,-0.4315,0.13700,-0.02600,0.14530,0.07060
-25.0,20.0,5.0,-0.05940,-0.443,-0.17100,-0.03390,0.15570,0.07210
-25.0,20.0,10.0,-0.01050,-0.4347,-0.46500,-0.05310,0.17010,0.06680
-25.0,20.0,15.0,0.03960,-0.3966,-0.73800,-0.06260,0.19010,0.05090
-25.0,20.0,20.0,0.07030,-0.328,-0.99400,-0.06420,0.18780,0.02410
-25.0,20.0,25.0,0.10760,-0.3044,-1.28800,-0.06370,0.16870,0.01620
-25.0,20.0,30.0,0.11100,-0.2743,-1.47700,-0.03500,0.11860,-0.02180
-25.0,20.0,35.0,0.12560,-0.2282,-1.64000,-0.02810,0.09620,-0.05360
-25.0,20.0,40.0,0.13430,-0.1575,-1.75500,-0.04030,0.04950,-0.07270
-25.0,20.0,45.0,0.15410,-0.1506,-1.82400,-0.03700,0.03430,-0.07040
-25.0,20.0,50.0,0.14570,-0.1565,-1.73800,-0.05000,-0.05140,-0.03840
-25.0,20.0,55.0,0.13470,-0.2153,-1.69700,-0.04330,-0.13730,-0.05640
-25.0,20.0,60.0,0.14620,-0.2077,-1.75000,-0.03400,-0.11170,-0.03580
-25.0,20.0,70.0,0.15670,-0.1534,-1.85300,-0.04660,-0.22760,-0.01730
-25.0,20.0,80.0,0.14100,-0.2075,-1.86400,-0.03930,-0.39230,-0.01170
-25.0,20.0,90.0,0.14930,-0.1986,-1.89000,-0.03410,-0.51240,-0.00720
-25.0,25.0,-20.0,-0.17870,-0.3461,1.14000,-0.00390,0.21600,0.05450
-25.0,25.0,-15.0,-0.17900,-0.319,1.06000,-0.00600,0.15800,0.06020
-25.0,25.0,-10.0,-0.16300,-0.3842,0.81500,-0.00600,0.15300,0.06660
-25.0,25.0,-5.0,-0.12140,-0.5013,0.39400,-0.02530,0.16790,0.08000
-25.0,25.0,0.0,-0.09570,-0.5369,0.12300,-0.02830,0.15230,0.08910
-25.0,25.0,5.0,-0.05580,-0.5506,-0.13300,-0.03490,0.15400,0.08580
-25.0,25.0,10.0,-0.01140,-0.5313,-0.40200,-0.05460,0.16630,0.07980
-25.0,25.0,15.0,0.03660,-0.4868,-0.66400,-0.06720,0.17550,0.06470
-25.0,25.0,20.0,0.07130,-0.4542,-0.94300,-0.06940,0.16180,0.04600
-25.0,25.0,25.0,0.10980,-0.4241,-1.21700,-0.07240,0.14060,0.03470
-25.0,25.0,30.0,0.11450,-0.36,-1.46300,-0.06280,0.08890,0.00550
-25.0,25.0,35.0,0.11950,-0.3141,-1.59000,-0.03580,0.07570,-0.02760
-25.0,25.0,40.0,0.14300,-0.1807,-1.67100,-0.06560,0.04060,-0.01250
-25.0,25.0,45.0,0.15390,-0.1951,-1.68900,-0.05790,0.03380,-0.03360
-25.0,25.0,50.0,0.14350,-0.1679,-1.62300,-0.05990,-0.03710,-0.02170
-25.0,25.0,55.0,0.14480,-0.1709,-1.70600,-0.04990,-0.03430,-0.01370
-25.0,25.0,60.0,0.14860,-0.1719,-1.75000,-0.04170,-0.05990,-0.00550
-25.0,25.0,70.0,0.15570,-0.2078,-1.79900,-0.05680,-0.25180,-0.02510
-25.0,25.0,80.0,0.14670,-0.2495,-1.88500,-0.04950,-0.38570,-0.01920
-25.0,25.0,90.0,0.15490,-0.2474,-1.96900,-0.04380,-0.52270,-0.01590
-25.0,30.0,-20.0,-0.17710,-0.4081,1.10000,-0.01180,0.22700,0.05100
-25.0,30.0,-15.0,-0.17390,-0.398,1.00500,0.00480,0.16300,0.06410
-25.0,30.0,-10.0,-0.15340,-0.4382,0.78000,0.00690,0.13800,0.07540
-25.0,30.0,-5.0,-0.11330,-0.5794,0.40300,-0.02090,0.15380,0.08860
-25.0,30.0,0.0,-0.08790,-0.64,0.15900,-0.02740,0.15130,0.10340
-25.0,30.0,5.0,-0.05050,-0.6514,-0.09900,-0.03980,0.14720,0.10750
-25.0,30.0,10.0,-0.00850,-0.6371,-0.34100,-0.05500,0.15470,0.10180
-25.0,30.0,15.0,0.03620,-0.61,-0.60200,-0.07360,0.16680,0.09090
-25.0,30.0,20.0,0.06970,-0.5698,-0.87300,-0.07430,0.14790,0.06270
-25.0,30.0,25.0,0.10660,-0.503,-1.16700,-0.07970,0.11300,0.04870
-25.0,30.0,30.0,0.10500,-0.4189,-1.38900,-0.08430,0.12700,0.04170
-25.0,30.0,35.0,0.11370,-0.3488,-1.53100,-0.05330,0.11320,0.00690
-25.0,30.0,40.0,0.12990,-0.2242,-1.63000,-0.07160,0.10240,0.00790
-25.0,30.0,45.0,0.14710,-0.2662,-1.66300,-0.08040,0.06000,-0.01910
-25.0,30.0,50.0,0.13620,-0.2008,-1.44700,-0.06360,-0.04080,-0.01200
-25.0,30.0,55.0,0.14420,-0.2107,-1.61800,-0.06290,-0.03350,-0.00170
-25.0,30.0,60.0,0.14600,-0.2099,-1.68800,-0.06140,-0.07140,0.00660
-25.0,30.0,70.0,0.15450,-0.2421,-1.79100,-0.06780,-0.25030,-0.02070
-25.0,30.0,80.0,0.15380,-0.2954,-1.83400,-0.06020,-0.35320,-0.01910
-25.0,30.0,90.0,0.16240,-0.3047,-1.97000,-0.05790,-0.52190,-0.02770
-10.0,-30.0,-20.0,-0.13620,0.3677,1.14900,-0.01158,0.14690,-0.05838
-10.0,-30.0,-15.0,-0.12160,0.4019,0.94800,-0.00984,0.10870,-0.05850
-10.0,-30.0,-10.0,-0.10180,0.4367,0.75500,-0.00744,0.07840,-0.06708
-10.0,-30.0,-5.0,-0.06550,0.5538,0.32000,0.01714,0.05700,-0.08812
-10.0,-30.0,0.0,-0.04830,0.6218,0.08600,0.02046,0.05200,-0.10328
-10.0,-30.0,5.0,-0.01180,0.6544,-0.19200,0.03468,0.05200,-0.10620
-10.0,-30.0,10.0,0.02680,0.6255,-0.45500,0.05308,0.02800,-0.09810
-10.0,-30.0,15.0,0.07350,0.5885,-0.71400,0.07340,0.04300,-0.08776
-10.0,-30.0,20.0,0.12220,0.5783,-1.00500,0.08414,0.02700,-0.06812
-10.0,-30.0,25.0,0.13740,0.5005,-1.31300,0.08944,0.01000,-0.05120
-10.0,-30.0,30.0,0.10560,0.3751,-1.41800,0.07892,0.01500,-0.02208
-10.0,-30.0,35.0,0.10750,0.3292,-1.54200,0.07556,0.01600,-0.00700
-10.0,-30.0,40.0,0.13350,0.447,-1.67100,0.06986,0.06800,-0.00298
-10.0,-30.0,45.0,0.15210,0.1634,-1.61500,0.07616,0.02500,-0.01146
-10.0,-30.0,50.0,0.13460,0.1366,-1.40600,0.05624,-0.01110,-0.03028
-10.0,-30.0,55.0,0.13750,0.1735,-1.68800,0.05334,0.00020,-0.03608
-10.0,-30.0,60.0,0.13160,0.2233,-1.72400,0.06340,-0.08790,-0.01348
-10.0,-30.0,70.0,0.11710,0.2609,-1.74300,0.06830,-0.34290,0.02704
-10.0,-30.0,80.0,0.12010,0.3055,-1.93500,0.06554,-0.42940,0.02528
-10.0,-30.0,90.0,0.12870,0.3078,-1.99000,0.06610,-0.62080,0.0292
-10.0,-25.0,-20.0,-0.13510,0.307,1.21400,0.00092,0.12720,-0.06196
-10.0,-25.0,-15.0,-0.12450,0.322,0.99500,0.00068,0.09560,-0.05478
-10.0,-25.0,-10.0,-0.10660,0.3823,0.77800,0.00302,0.07430,-0.06174
-10.0,-25.0,-5.0,-0.07060,0.4778,0.32000,0.01898,0.06200,-0.07916
-10.0,-25.0,0.0,-0.05090,0.5258,0.06100,0.02280,0.05400,-0.08972
-10.0,-25.0,5.0,-0.01060,0.5514,-0.23200,0.03190,0.04200,-0.08792
-10.0,-25.0,10.0,0.03280,0.5185,-0.52200,0.05292,0.03500,-0.07824
-10.0,-25.0,15.0,0.08000,0.4665,-0.78400,0.06754,0.04000,-0.06024
-10.0,-25.0,20.0,0.12750,0.4633,-1.08800,0.07722,0.02500,-0.04970
-10.0,-25.0,25.0,0.14740,0.4195,-1.37800,0.07562,0.00800,-0.03870
-10.0,-25.0,30.0,0.12610,0.3161,-1.49800,0.04746,-0.03500,0.00632
-10.0,-25.0,35.0,0.11540,0.2952,-1.62900,0.05780,-0.02700,0.02264
-10.0,-25.0,40.0,0.14120,0.3885,-1.76800,0.05858,0.01900,0.00992
-10.0,-25.0,45.0,0.14860,0.0894,-1.57700,0.05708,-0.02100,0.00168
-10.0,-25.0,50.0,0.14100,0.1036,-1.59200,0.04738,0.00000,-0.01912
-10.0,-25.0,55.0,0.13670,0.1355,-1.73800,0.03824,0.00430,-0.02664
-10.0,-25.0,60.0,0.13600,0.1713,-1.79300,0.04538,-0.03150,-0.00178
-10.0,-25.0,70.0,0.11740,0.2279,-1.75400,0.05640,-0.35790,0.03016
-10.0,-25.0,80.0,0.11610,0.2595,-1.99300,0.05352,-0.47150,0.03054
-10.0,-25.0,90.0,0.12410,0.2498,-2.00900,0.05044,-0.61730,0.01564
-10.0,-20.0,-20.0,-0.14190,0.246,1.26400,0.01078,0.12100,-0.05236
-10.0,-20.0,-15.0,-0.12350,0.2651,1.02100,0.01174,0.09470,-0.04552
-10.0,-20.0,-10.0,-0.10680,0.3185,0.77700,0.01256,0.08520,-0.05242
-10.0,-20.0,-5.0,-0.07460,0.3758,0.32700,0.02048,0.04400,-0.06540
-10.0,-20.0,0.0,-0.05320,0.4208,0.04100,0.02242,0.04300,-0.07674
-10.0,-20.0,5.0,-0.00960,0.4294,-0.26200,0.03092,0.05000,-0.07288
-10.0,-20.0,10.0,0.03670,0.4225,-0.57500,0.05136,0.04000,-0.06832
-10.0,-20.0,15.0,0.08870,0.3755,-0.84600,0.06344,0.05300,-0.05122
-10.0,-20.0,20.0,0.12580,0.3383,-1.16100,0.06768,0.04000,-0.02900
-10.0,-20.0,25.0,0.14660,0.3005,-1.44500,0.06498,0.02300,-0.01990
-10.0,-20.0,30.0,0.12970,0.2291,-1.57800,0.01808,-0.01700,0.01838
-10.0,-20.0,35.0,0.12990,0.2112,-1.71900,0.04152,-0.03400,0.04640
-10.0,-20.0,40.0,0.13650,0.3025,-1.86200,0.03224,-0.01600,0.07178
-10.0,-20.0,45.0,0.15170,0.0444,-1.77000,0.03362,-0.02700,0.03352
-10.0,-20.0,50.0,0.14220,0.0916,-1.71600,0.03448,-0.00700,-0.00036
-10.0,-20.0,55.0,0.12510,0.1795,-1.72100,0.02948,-0.09360,0.01188
-10.0,-20.0,60.0,0.13550,0.2083,-1.80000,0.03666,-0.03840,0.02762
-10.0,-20.0,70.0,0.11850,0.1739,-1.81100,0.04536,-0.34300,0.02072
-10.0,-20.0,80.0,0.11360,0.2165,-1.97900,0.04200,-0.48770,0.02168
-10.0,-20.0,90.0,0.12140,0.1998,-1.95000,0.03912,-0.60280,0.01140
-10.0,-15.0,-20.0,-0.13860,0.1844,1.29400,0.01996,0.10750,-0.04108
-10.0,-15.0,-15.0,-0.12080,0.1964,1.04700,0.01840,0.08850,-0.03138
-10.0,-15.0,-10.0,-0.10710,0.2462,0.78800,0.01540,0.06190,-0.04380
-10.0,-15.0,-5.0,-0.07710,0.2818,0.33200,0.02008,0.03200,-0.05050
-10.0,-15.0,0.0,-0.05440,0.3088,0.03900,0.02142,0.03900,-0.05580
-10.0,-15.0,5.0,-0.01020,0.3124,-0.27900,0.02760,0.05300,-0.05606
-10.0,-15.0,10.0,0.03990,0.3065,-0.61100,0.04352,0.04000,-0.05320
-10.0,-15.0,15.0,0.09340,0.2875,-0.89800,0.05716,0.06000,-0.04866
-10.0,-15.0,20.0,0.12490,0.2563,-1.22300,0.05678,0.05000,-0.03030
-10.0,-15.0,25.0,0.14540,0.2295,-1.50900,0.05268,0.03800,-0.01886
-10.0,-15.0,30.0,0.14370,0.1411,-1.66300,0.01298,0.00300,0.02008
-10.0,-15.0,35.0,0.13770,0.1472,-1.81900,0.01306,-0.02400,0.05932
-10.0,-15.0,40.0,0.14560,0.2135,-1.96700,0.01050,-0.01300,0.07676
-10.0,-15.0,45.0,0.15200,0.0894,-1.96300,0.02424,-0.05400,0.05980
-10.0,-15.0,50.0,0.14860,0.1556,-1.94400,0.02788,-0.01050,0.02586
-10.0,-15.0,55.0,0.13360,0.1725,-1.80900,0.02126,-0.04250,0.00532
-10.0,-15.0,60.0,0.11540,0.1883,-1.75600,0.02726,-0.17570,0.00956
-10.0,-15.0,70.0,0.11080,0.1469,-1.78100,0.02606,-0.35640,0.01060
-10.0,-15.0,80.0,0.11240,0.1635,-1.99100,0.03186,-0.48330,0.01544
-10.0,-15.0,90.0,0.12210,0.1568,-1.97900,0.02770,-0.59590,0.00426
-10.0,-10.0,-20.0,-0.13740,0.1062,1.32700,0.02476,0.07980,-0.02014
-10.0,-10.0,-15.0,-0.11760,0.1332,1.04300,0.01372,0.05810,-0.02212
-10.0,-10.0,-10.0,-0.10610,0.1513,0.80100,0.01154,0.03900,-0.02750
-10.0,-10.0,-5.0,-0.08360,0.1833,0.35000,0.01810,0.01700,-0.03612
-10.0,-10.0,0.0,-0.05780,0.2014,0.05200,0.01866,0.04200,-0.03978
-10.0,-10.0,5.0,-0.01420,0.2028,-0.28000,0.02274,0.05400,-0.03898
-10.0,-10.0,10.0,0.04120,0.2016,-0.62400,0.03352,0.04700,-0.03928
-10.0,-10.0,15.0,0.09830,0.1837,-0.93300,0.04354,0.06300,-0.03606
-10.0,-10.0,20.0,0.13260,0.1814,-1.26300,0.04534,0.05700,-0.02884
-10.0,-10.0,25.0,0.14650,0.1643,-1.56000,0.03988,0.04700,-0.02060
-10.0,-10.0,30.0,0.15000,0.0927,-1.74600,0.00484,0.02000,0.01722
-10.0,-10.0,35.0,0.15230,0.0857,-1.91900,0.00490,-0.00600,0.04556
-10.0,-10.0,40.0,0.15970,0.0748,-2.07400,0.00608,-0.00800,0.05328
-10.0,-10.0,45.0,0.16080,0.0782,-2.13000,0.01620,-0.05000,0.04302
-10.0,-10.0,50.0,0.15610,0.0866,-2.02600,0.01558,0.00730,0.02800
-10.0,-10.0,55.0,0.14670,0.1104,-2.01400,0.01044,0.03590,-0.00404
-10.0,-10.0,60.0,0.12850,0.123,-1.94900,0.01922,-0.09620,0.00570
-10.0,-10.0,70.0,0.11610,0.1074,-1.83900,0.02354,-0.35200,0.00046
-10.0,-10.0,80.0,0.11580,0.1096,-1.92800,0.02056,-0.43150,0.01194
-10.0,-10.0,90.0,0.12650,0.1089,-2.00600,0.02082,-0.55320,0.00622
-10.0,-8.0,-20.0,-0.13300,0.085,1.28300,0.01990,0.07560,-0.01242
-10.0,-8.0,-15.0,-0.11760,0.1039,1.04000,0.01132,0.05490,-0.01606
-10.0,-8.0,-10.0,-0.10680,0.1156,0.79900,0.01012,0.03440,-0.02066
-10.0,-8.0,-5.0,-0.08640,0.1449,0.36500,0.01512,0.01600,-0.02714
-10.0,-8.0,0.0,-0.05890,0.1553,0.05600,0.01522,0.04100,-0.03022
-10.0,-8.0,5.0,-0.01480,0.1607,-0.28400,0.01860,0.05300,-0.03094
-10.0,-8.0,10.0,0.04170,0.1597,-0.63200,0.02766,0.04800,-0.03088
-10.0,-8.0,15.0,0.10060,0.1473,-0.94900,0.03586,0.06300,-0.02874
-10.0,-8.0,20.0,0.13470,0.1504,-1.28400,0.03632,0.05600,-0.02436
-10.0,-8.0,25.0,0.14850,0.1409,-1.56600,0.03280,0.04800,-0.01588
-10.0,-8.0,30.0,0.16190,0.1057,-1.82500,0.01742,0.04000,0.00046
-10.0,-8.0,35.0,0.15810,0.0581,-1.97700,0.00094,0.00400,0.04188
-10.0,-8.0,40.0,0.16220,0.0531,-2.07700,0.00992,-0.00700,0.03838
-10.0,-8.0,45.0,0.16130,0.0612,-2.21700,0.01634,-0.03900,0.03430
-10.0,-8.0,50.0,0.15700,0.0785,-2.08100,0.01448,-0.00850,0.02570
-10.0,-8.0,55.0,0.14720,0.0926,-2.04800,0.01002,0.01340,-0.00198
-10.0,-8.0,60.0,0.12890,0.1051,-1.92300,0.01640,-0.10500,-0.00092
-10.0,-8.0,70.0,0.11870,0.0941,-1.89700,0.02080,-0.33630,-0.00496
-10.0,-8.0,80.0,0.11480,0.0871,-1.87700,0.01562,-0.42350,0.01196
-10.0,-8.0,90.0,0.12560,0.0843,-2.08500,0.01860,-0.58810,0.00512
-10.0,-6.0,-20.0,-0.12680,0.0677,1.26600,0.01512,0.08000,-0.00474
-10.0,-6.0,-15.0,-0.11700,0.0753,1.03700,0.00880,0.05050,-0.01030
-10.0,-6.0,-10.0,-0.10720,0.076,0.80300,0.00838,0.02900,-0.01262
-10.0,-6.0,-5.0,-0.08760,0.1055,0.37000,0.01202,0.01200,-0.01900
-10.0,-6.0,0.0,-0.05970,0.1138,0.06200,0.01108,0.04200,-0.02128
-10.0,-6.0,5.0,-0.01550,0.1133,-0.28100,0.01360,0.05400,-0.02134
-10.0,-6.0,10.0,0.04080,0.1131,-0.64100,0.02114,0.05000,-0.02196
-10.0,-6.0,15.0,0.10240,0.1069,-0.96700,0.02732,0.06700,-0.02032
-10.0,-6.0,20.0,0.13500,0.1116,-1.29900,0.02756,0.05800,-0.01678
-10.0,-6.0,25.0,0.14850,0.1029,-1.58300,0.02568,0.04800,-0.01062
-10.0,-6.0,30.0,0.16550,0.0911,-1.84800,0.01896,0.04700,0.00016
-10.0,-6.0,35.0,0.17220,0.0651,-2.03300,0.00832,0.01600,0.02630
-10.0,-6.0,40.0,0.17250,0.0303,-2.15100,0.01668,-0.00600,0.02410
-10.0,-6.0,45.0,0.15970,0.0458,-2.18400,0.01342,-0.05300,0.02558
-10.0,-6.0,50.0,0.15380,0.0555,-2.08100,0.01296,-0.03710,0.02590
-10.0,-6.0,55.0,0.14750,0.0663,-2.11200,0.00870,-0.01100,-0.00366
-10.0,-6.0,60.0,0.13360,0.0788,-1.97500,0.01354,-0.09120,-0.01108
-10.0,-6.0,70.0,0.13760,0.0765,-2.00400,0.01456,-0.26910,-0.01048
-10.0,-6.0,80.0,0.11490,0.0753,-1.93100,0.01424,-0.42380,0.01074
-10.0,-6.0,90.0,0.12570,0.0658,-2.01900,0.01566,-0.56170,0.00342
-10.0,-4.0,-20.0,-0.12490,0.038,1.24500,0.01256,0.08270,0.00116
-10.0,-4.0,-15.0,-0.11770,0.0442,1.04200,0.00658,0.04270,-0.00382
-10.0,-4.0,-10.0,-0.10830,0.0434,0.80400,0.00584,0.02490,-0.00562
-10.0,-4.0,-5.0,-0.08870,0.0662,0.37200,0.00816,0.00800,-0.01158
-10.0,-4.0,0.0,-0.06060,0.0726,0.06200,0.00726,0.04300,-0.01300
-10.0,-4.0,5.0,-0.01610,0.0767,-0.28700,0.00918,0.05300,-0.01354
-10.0,-4.0,10.0,0.04130,0.0748,-0.64700,0.01422,0.05000,-0.01376
-10.0,-4.0,15.0,0.10340,0.0652,-0.97600,0.01862,0.06900,-0.01182
-10.0,-4.0,20.0,0.13490,0.0703,-1.30600,0.01766,0.06000,-0.00964
-10.0,-4.0,25.0,0.14530,0.0654,-1.59000,0.01786,0.04600,-0.00580
-10.0,-4.0,30.0,0.16600,0.063,-1.86100,0.01302,0.04900,0.00238
-10.0,-4.0,35.0,0.17890,0.0563,-2.06400,0.00970,0.02400,0.01634
-10.0,-4.0,40.0,0.17620,0.036,-2.18400,0.01128,-0.00500,0.01522
-10.0,-4.0,45.0,0.16710,0.0398,-2.21600,0.01502,-0.05400,0.01794
-10.0,-4.0,50.0,0.15110,0.0399,-2.03300,0.00902,-0.05190,0.01258
-10.0,-4.0,55.0,0.14650,0.046,-2.10000,0.00490,-0.01690,-0.00680
-10.0,-4.0,60.0,0.13510,0.0546,-1.99000,0.00820,-0.08570,-0.01794
-10.0,-4.0,70.0,0.13120,0.0564,-1.99900,0.01156,-0.30050,-0.01706
-10.0,-4.0,80.0,0.11940,0.0498,-1.98100,0.00528,-0.43210,0.00822
-10.0,-4.0,90.0,0.12360,0.0446,-2.00700,0.01024,-0.58590,0.00278
-10.0,-2.0,-20.0,-0.12220,0.0186,1.23400,0.00730,0.08530,0.00148
-10.0,-2.0,-15.0,-0.11840,0.0175,1.05000,0.00394,0.03780,-0.00068
-10.0,-2.0,-10.0,-0.10940,0.0161,0.81200,0.00174,0.01770,-0.00098
-10.0,-2.0,-5.0,-0.08890,0.0325,0.35700,0.00378,0.01000,-0.00550
-10.0,-2.0,0.0,-0.06130,0.0371,0.06100,0.00338,0.04300,-0.00608
-10.0,-2.0,5.0,-0.01770,0.0331,-0.28700,0.00454,0.05200,-0.00584
-10.0,-2.0,10.0,0.04060,0.0345,-0.65000,0.00604,0.05100,-0.00588
-10.0,-2.0,15.0,0.10330,0.0298,-0.97700,0.00904,0.07200,-0.00492
-10.0,-2.0,20.0,0.13250,0.0332,-1.30200,0.00828,0.06500,-0.00412
-10.0,-2.0,25.0,0.14290,0.0343,-1.59500,0.00838,0.04800,-0.00238
-10.0,-2.0,30.0,0.16630,0.0297,-1.86100,0.00790,0.05100,0.00302
-10.0,-2.0,35.0,0.18010,0.0264,-2.07900,0.00538,0.03100,0.00994
-10.0,-2.0,40.0,0.17980,0.0123,-2.19900,0.00564,-0.00600,0.00584
-10.0,-2.0,45.0,0.16670,0.0279,-2.30600,0.00838,-0.03900,0.00944
-10.0,-2.0,50.0,0.15150,0.0302,-2.03100,0.00556,-0.03790,0.00884
-10.0,-2.0,55.0,0.14620,0.0424,-2.05800,0.00370,-0.01130,0.00418
-10.0,-2.0,60.0,0.13720,0.0474,-2.00500,0.00570,-0.07940,-0.00590
-10.0,-2.0,70.0,0.13530,0.0371,-1.98600,0.00666,-0.29240,-0.01794
-10.0,-2.0,80.0,0.11770,0.0212,-1.89200,0.00538,-0.41100,0.00566
-10.0,-2.0,90.0,0.12480,0.0203,-2.01900,0.00620,-0.57730,0.00174
-10.0,0.0,-20.0,-0.12230,0,1.22800,0.00000,0.08640,0.00000
-10.0,0.0,-15.0,-0.11880,0,1.05900,0.00000,0.03280,0.00000
-10.0,0.0,-10.0,-0.11470,0,0.81500,0.00000,0.00410,0.00000
-10.0,0.0,-5.0,-0.08930,0,0.35600,0.00000,0.00760,0.00000
-10.0,0.0,0.0,-0.06170,0,0.06400,0.00000,0.04300,0.00000
-10.0,0.0,5.0,-0.01720,0,-0.28700,0.00000,0.05010,0.00000
-10.0,0.0,10.0,0.03990,0,-0.65000,0.00000,0.05530,0.00000
-10.0,0.0,15.0,0.10270,0,-0.98000,0.00000,0.07060,0.00000
-10.0,0.0,20.0,0.13220,0,-1.30600,0.00000,0.06740,0.00000
-10.0,0.0,25.0,0.14070,0,-1.59400,0.00000,0.04920,0.00000
-10.0,0.0,30.0,0.16510,0,-1.86300,0.00000,0.05280,0.00000
-10.0,0.0,35.0,0.17950,0,-2.09000,0.00000,0.02780,0.00000
-10.0,0.0,40.0,0.17980,0,-2.21600,0.00000,-0.00940,0.00000
-10.0,0.0,45.0,0.16710,0,-2.26300,0.00000,-0.04110,0.00000
-10.0,0.0,50.0,0.15440,0,-2.09700,0.00000,-0.01290,0.00000
-10.0,0.0,55.0,0.14880,0,-2.08800,0.00000,0.02020,0.00000
-10.0,0.0,60.0,0.13830,0,-2.05100,0.00000,-0.07080,0.00000
-10.0,0.0,70.0,0.13280,0,-2.02700,0.00000,-0.31370,0.00000
-10.0,0.0,80.0,0.12110,0,-1.91600,0.00000,-0.42360,0.00000
-10.0,0.0,90.0,0.12470,0,-1.99800,0.00000,-0.57180,0.00000
-10.0,2.0,-20.0,-0.12460,-0.0232,1.25800,-0.00570,0.07820,-0.00246
-10.0,2.0,-15.0,-0.11850,-0.0188,1.06600,-0.00410,0.03530,0.00166
-10.0,2.0,-10.0,-0.10950,-0.0124,0.81300,-0.00212,0.01690,0.00356
-10.0,2.0,-5.0,-0.08850,-0.042,0.35200,-0.00384,0.00700,0.00594
-10.0,2.0,0.0,-0.06110,-0.0394,0.06200,-0.00320,0.04200,0.00586
-10.0,2.0,5.0,-0.01780,-0.0383,-0.28900,-0.00410,0.05200,0.00590
-10.0,2.0,10.0,0.03990,-0.0383,-0.65100,-0.00662,0.05200,0.00594
-10.0,2.0,15.0,0.10310,-0.0383,-0.98000,-0.00876,0.07100,0.00598
-10.0,2.0,20.0,0.13320,-0.0248,-1.29200,-0.00914,0.06900,0.00020
-10.0,2.0,25.0,0.14180,-0.0335,-1.59700,-0.00848,0.04600,0.00250
-10.0,2.0,30.0,0.16400,-0.0306,-1.86300,-0.00606,0.04800,-0.00342
-10.0,2.0,35.0,0.17930,-0.0214,-2.08100,0.00168,0.02800,-0.00998
-10.0,2.0,40.0,0.18100,-0.032,-2.19200,-0.00758,-0.02200,-0.00618
-10.0,2.0,45.0,0.16640,-0.0868,-2.30400,-0.00460,-0.04700,-0.02002
-10.0,2.0,50.0,0.15490,-0.0178,-2.11800,-0.00394,-0.02210,-0.00706
-10.0,2.0,55.0,0.14330,-0.0087,-2.06700,-0.00496,-0.01310,0.00092
-10.0,2.0,60.0,0.13560,-0.0048,-2.02100,-0.00278,-0.08870,0.00658
-10.0,2.0,70.0,0.13010,-0.0113,-1.94300,-0.00564,-0.31130,0.00346
-10.0,2.0,80.0,0.11950,-0.0203,-1.93800,-0.00426,-0.44450,-0.00058
-10.0,2.0,90.0,0.12620,-0.0263,-1.99000,-0.00024,-0.57280,-0.00364
-10.0,4.0,-20.0,-0.12470,-0.0467,1.25700,-0.01052,0.08110,-0.00352
-10.0,4.0,-15.0,-0.11870,-0.0402,1.04800,-0.00704,0.04260,0.00460
-10.0,4.0,-10.0,-0.10840,-0.043,0.80500,-0.00596,0.02270,0.00834
